id,fpr_media,fpr_desvio,fnr_media,fnr_desvio,precision_media,precision_desvio,recall_media,recall_desvio,f1score_media,f1score_desvio,accuracy_media,accuracy_desvio,probability_media,probability_desvio
DQN,0.052985555586936,0.007212204483106081,0.06575257134122034,0.011358307434632715,0.931680233514129,0.007600542866404273,0.9342474286587796,0.011358307434632715,0.9329486573069483,0.008983674735931946,0.9415649027589327,0.007820198913270378,0.43654454997738573,0.017104231699116575
A2C,0.05720516575427659,0.02399023453325598,0.08081675922670305,0.02824697550886986,0.9294440853793292,0.020964744001642138,0.9191832407732969,0.02824697550886988,0.9237210522936635,0.010066846438509473,0.9328810492989597,0.00821415546612139,0.4390773405698779,0.03823167402918116
PPO,0.0026606920595539864,0.0037010302502396976,0.41402736953777675,0.022161087604604057,0.9948261842700346,0.007070242454843943,0.5859726304622233,0.022161087604604047,0.7372123577699553,0.016640728421075862,0.814111261872456,0.0069892152951901865,0.263048394391678,0.018934664618081867
