id,fpr_media,fpr_desvio,fnr_media,fnr_desvio,precision_media,precision_desvio,recall_media,recall_desvio,f1score_media,f1score_desvio,accuracy_media,accuracy_desvio,probability_media,probability_desvio
DQN,0.0806268773991212,0.013752153741370805,0.13394771211023854,0.02921724638563982,0.8939533523332738,0.019600864633560054,0.8660522878897614,0.02921724638563983,0.8796311620588275,0.022521274619260873,0.8959746720940751,0.01769581153082695,0.42704658525554057,0.01865121967187295
A2C,0.05134622278492999,0.0024856714990741263,0.09668820265971155,0.00772226601266525,0.9322993393896887,0.002857835899704281,0.9033117973402884,0.0077222660126652545,0.9175618021537545,0.004630333829978823,0.9287200361827228,0.0050655811849841465,0.4253279059249209,0.014699161534817736
PPO,0.04915031301480781,0.05640556972086458,0.28296522958527914,0.02598789142569161,0.926645867766074,0.07429129926181899,0.7170347704147209,0.02598789142569159,0.8062477023835605,0.026080119257635006,0.8484848484848484,0.028768962268275418,0.3405698778833107,0.03798755117617207
