id,fpr_media,fpr_desvio,fnr_media,fnr_desvio,precision_media,precision_desvio,recall_media,recall_desvio,f1score_media,f1score_desvio,accuracy_media,accuracy_desvio,probability_media,probability_desvio
DQN,0.08497974527902993,0.020286828750991075,0.10389538750047456,0.019890021938542196,0.8923039097589959,0.02265020201655026,0.8961046124995254,0.01989002193854219,0.8937750657222928,0.008839099341642363,0.9067390321121664,0.007433986725030979,0.44052464947987335,0.020842394686798882
A2C,0.046562138643697695,0.007986525979010678,0.09675786120310412,0.011578845615758098,0.9403618965040208,0.009593489869002663,0.903242138796896,0.011578845615758088,0.9213488251518619,0.006444326854462129,0.9310719131614654,0.004427765988428896,0.4303030303030303,0.017741068253656615
PPO,0.0004985833384292383,0.0006714001704040338,0.3930289285176704,0.02678420740512515,0.9990105908584169,0.001331098543618678,0.6069710714823296,0.026784207405125153,0.7547976741496396,0.020783408369791596,0.8288557213930348,0.01500765390745109,0.26386250565355046,0.013003775574172219
