id,fpr_media,fpr_desvio,fnr_media,fnr_desvio,precision_media,precision_desvio,recall_media,recall_desvio,f1score_media,f1score_desvio,accuracy_media,accuracy_desvio,probability_media,probability_desvio
DQN,0.04795898996273116,0.0069467754174197096,0.07309031422318263,0.009618571563684805,0.9394242259466011,0.007809185485271941,0.9269096857768172,0.009618571563684815,0.9330863312159818,0.00640041283722785,0.9407507914970601,0.007093797892970673,0.438715513342379,0.011735005867267119
A2C,0.05050742701338633,0.014807606470193274,0.09489824177976533,0.03003042174214957,0.9332452696612821,0.022402250575041343,0.9051017582202346,0.03003042174214956,0.9183797497167184,0.013813137650212689,0.9290818634102216,0.012476482785756053,0.42695612844866576,0.0060814966310164175
PPO,0.004788221606892915,0.0032187585216880525,0.3649503370235071,0.022751919993727124,0.9910657158096077,0.005502908734159047,0.6350496629764929,0.022751919993727124,0.7738038396924859,0.01599992202530671,0.834825870646766,0.012943228031396354,0.28521031207598374,0.013791622771492854
